label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
tuổi thơ,1,1,1,0,0,0,qipedc,tuổi thơ
tuổi thơ ấu,1,1,1,0,0,0,qipedc,tuổi thơ ấu
tuỷ sống,1,1,1,0,0,0,qipedc,tuỷ sống
tài giỏi,1,1,1,0,0,0,qipedc,tài giỏi
tài năng,1,1,1,0,0,0,qipedc,tài năng
tài trợ,1,1,1,0,0,0,qipedc,tài trợ
tài xế,1,0,0,1,0,0,hcmue,tài xế
tàu hoả,3,3,3,0,0,0,qipedc,tàu hoả
tàu ngầm,1,1,1,0,0,0,qipedc,tàu ngầm
tàu thuyền,1,1,1,0,0,0,qipedc,tàu thuyền
tàu thủy,2,1,1,1,0,0,qipedc+hcmue,tàu thủy
tàu vũ trụ,1,0,0,1,0,0,hcmue,tàu vũ trụ
tác dụng,1,1,1,0,0,0,qipedc,tác dụng
tác giả,1,1,1,0,0,0,qipedc,tác giả
tác phẩm,1,1,1,0,0,0,qipedc,tác phẩm
tác động,2,2,2,0,0,0,qipedc,tác động
tách,1,1,1,0,0,0,qipedc,tách
tách lớp,1,1,1,0,0,0,qipedc,tách lớp
tái phát,1,1,1,0,0,0,qipedc,tái phát
tái phạm,2,2,3,0,0,0,qipedc,tái phạm
tán thành,1,1,1,0,0,0,qipedc,tán thành
táo bón,6,0,0,0,6,14,vslgh,TÁO-BÓN
tát,1,1,1,0,0,0,qipedc,tát
tâm thần,1,1,1,0,0,0,qipedc,tâm thần
tây bắc,1,1,1,0,0,0,qipedc,Tây Bắc
tây nguyên,1,1,1,0,0,0,qipedc,Tây Nguyên
tây ninh,1,1,1,0,0,0,qipedc,Tây Ninh
té,6,0,0,0,6,14,vslgh,TÉ
tê tay,6,0,0,0,6,14,vslgh,TÊ-TAY
tên,6,0,0,0,6,28,vslgh,TÊN
tên là gì?,2,2,2,0,0,0,qipedc,tên là gì?
tên riêng,1,1,1,0,0,0,qipedc,tên riêng
tìm hiểu,2,2,3,0,0,0,qipedc,tìm hiểu
tình cảm,1,1,1,0,0,0,qipedc,tình cảm
tình cờ,1,1,1,0,0,0,qipedc,tình cờ
